# Xnet spike
# origin=https://home.migniot.com | protocol=https: | secureContext=true | UA=Mozilla/5.0 (Android 13; Mobile; rv:149.0) Gecko/149.0 Firefox/149.0

PASS  | localStorage | read/write ok
PASS  | indexedDB present | object present
PASS  | CompressionStream(gzip) | constructs
PASS  | DecompressionStream(gzip) | constructs
PASS  | crypto.getRandomValues | ok (TweetNaCl needs this)
PASS  | crypto.subtle (WebCrypto) | present
PASS  | RTCPeerConnection present | constructor present
PASS  | file input (QR photo/upload) | supported
…     | IndexedDB open | opening…
…     | storage.estimate() | …
…     | storage.persist() | …
…     | WebRTC data channel (loopback) | negotiating…
…     | STUN reachable (Google) | gathering…

PASS  | localStorage | read/write ok
PASS  | indexedDB present | object present
PASS  | CompressionStream(gzip) | constructs
PASS  | DecompressionStream(gzip) | constructs
PASS  | crypto.getRandomValues | ok (TweetNaCl needs this)
PASS  | crypto.subtle (WebCrypto) | present
PASS  | RTCPeerConnection present | constructor present
PASS  | file input (QR photo/upload) | supported
PASS  | IndexedDB open | open ok
PASS  | storage.estimate() | quota≈10240MB used≈0MB
PASS  | storage.persist() | granted (durable)
PASS  | WebRTC data channel (loopback) | channel open; msg=ping
PASS  | STUN reachable (Google) | srflx: public mapping obtained
